Question	Option A	Option B	Option C	Option D	Correct Answer	Explanation
Which MITRE ATT&CK technique is associated with the behavior of an adversary using a known vulnerability in an application to compromise a system?	Exploit Public-Facing Application (T1190)	Exploitation for Client Execution (T1203)	Application Layer Protocol (T1071)	Exploit Zero-Day (T1199)	A	Exploit Public-Facing Application (T1190) involves leveraging a known vulnerability in an application to compromise the system. The other options are not directly related to this specific behavior.
Which MITRE ATT&CK technique involves an adversary using a script to execute malicious code on a victim's machine without dropping a file?	T1059 - Command-Line Interface	T1203 - Exploitation for Client Execution	T1053 - Scheduled Task	T1064 - Scripting	A	T1064 - Scripting involves executing malicious code without dropping a file, making it a stealthy technique to avoid detection. The other options are related to different techniques within MITRE ATT&CK.
Which MITRE ATT&CK technique involves an adversary injecting code into a process to evade detection and avoid detection by security products?	Process Injection (T1055)	Memory Injection (T1055)	Component Object Model Hijacking (T1122)	Process Hollowing (T1055)	B	Process Injection (T1055) is the technique where an adversary injects code into a process to evade detection, helping them avoid security products that may flag suspicious activities. Memory Injection (T1055) is a similar technique but involves injecting code into the memory space of another process. Component Object Model Hijacking (T1122) is
Which MITRE ATT&CK technique involves a threat actor targeting a specific organization using spear phishing emails to deliver a remote access tool?	APT29 Covert Network	APT3 Spearphishing Attachment	APT32 Rundll32	APT28 Data Staged	 B	APT3 Spearphishing Attachment
Based on the MITRE ATT&CK framework for Enterprise, which technique involves an attacker using a web shell to maintain access and persistence on a compromised system?	Exfiltration Over Web Service (T1567.001)	Web Shell (T1505)	Web Service (T1102)	Data Staged (T1074)	B	"Among the provided techniques, the use of a web shell to maintain access and persistence on a compromised system is specifically categorized under the MITRE ATT&CK technique named ""Web Shell (T1505)."""
In the context of MITRE ATT&CK techniques, which pattern technique involves an adversary manipulating the code or logic within a mobile application to perform actions it was not originally designed for?	Repackaging (T1446)	Exploit Public-Facing Application (T1190)	Exploitation for Client Execution (T1203)	Modify App Memory (T1401)	A	Repackaging (T1446) involves altering a legitimate application's package to insert malicious code, potentially enabling unauthorized actions. The other options pertain to different techniques such as exploiting vulnerabilities in public-facing applications, executing malicious content on a client system, and
Which MITRE ATT&CK technique involves an adversary manipulating authentication mechanisms to access and control systems?	Account Manipulation (T1078)	Initial Access (T1078)	Credential Dumping (T1003)	Exploit Public-Facing Application (T1190)	A	Account Manipulation (T1078) involves an adversary manipulating authentication mechanisms to access and control systems, making it the correct choice in this scenario. Initial Access (T1078) focuses on the initial entry an adversary uses to access a network, not authentication manipulation. Credential Dumping (T1003) involves stealing account credentials, while Exploit Public-Facing
Which MITRE ATT&CK technique is commonly associated with the use of malicious macros in Microsoft Office documents for initial access on the Enterprise platform?	T1200 - Hardware Additions	T1116 - Code Signing	T1059.001 - PowerShell	T1203 - Exploitation for Client Execution	T1059.001 - PowerShell	"Technique T1059.001, ""PowerShell,"" involves the use of PowerShell scripts by threat actors to execute commands. Malicious macros in Microsoft Office documents are often used to deliver and execute PowerShell commands for initial access."
Which MITRE ATT&CK technique involves an adversary using existing, legitimate credentials to access a victim's system without requiring any additional malicious activity?	Persistence	Valid Accounts	Password Spraying	Exploitation of Remote Services	B	Valid Accounts (T1078) involves adversaries using credentials to maintain access within a network. This technique does not require additional malicious activity beyond the use of valid credentials.
Which MITRE ATT&CK technique involves an adversary using a known vulnerability in a software application to gain unauthorized access to a system?	Exploit Public-Facing Application (T1190)	Spearphishing Attachment (T1566.001)	Credential Dumping (T1003)	Exploit Vulnerability (T1200)	D	Exploit Vulnerability (T1200) involves an adversary using a known vulnerability in a software application to gain unauthorized access to a system. Option A, B, and C are different techniques within the MITRE ATT&CK framework that do not specifically involve exploiting known software vulnerabilities.
Which MITRE ATT&CK technique involves an attacker using a web shell to maintain persistent access to a compromised system in the Enterprise platform?	Reconnaissance (T1592)	Web Shell (T1100)	Persistence (T1547)	Command and Control (T1043)	B	Using a web shell (T1100 - Web Shell) allows an attacker to execute commands and maintain access to a compromised system, falling under the Persistence tactic in MITRE ATT&CK.
Which MITRE ATT&CK technique involves the use of malicious software that is launched each time the operating system starts?	Execution through Module Load	Boot or Logon Autostart Execution	Boot or Logon Autostart Execution through Registry	Run Automated Script	Boot or Logon Autostart Execution	B
Which MITRE ATT&CK technique involves an adversary encrypting files on a victim's system, demanding payment for decryption?	Ransomware: ID T1486	Data Encrypted for Impact: ID T1486	Credential Dumping: ID T1003	Phishing for Information: ID T1598	B	Data Encrypted for Impact: This technique involves adversaries encrypting files on a victim's system, typically through the use of ransomware, and demanding payment for decryption.
Based on MITRE ATT&CK, which technique involves adversaries using a compromised device to relay command and control (C2) traffic to maintain anonymity and evade detection?	Process Hollowing (T1055)	Proxy (T1090)	Remote System Discovery (T1018)	Traffic Signaling (T1047)	B	Adversaries may use a compromised device as a proxy to relay C2 traffic, leveraging the Proxy (T1090) technique for anonymity and evasion in the network.
Which MITRE ATT&CK technique involves an adversary using a third-party service to communicate with compromised systems in the Enterprise platform?	Process Injection: Dynamic-link Library Injection	Obfuscated Files or Information	Remote System Discovery	Use of Known Encryption Key for Data Encrypted	C	"Adversaries can use a third-party service to communicate with compromised systems, which falls under the MITRE ATT&CK technique ""Remote System Discovery"" in the Enterprise platform."
Which MITRE ATT&CK Enterprise technique involves an adversary gaining access to physically proximate systems or networks by using techniques such as keylogging or network sniffing?	Exploit Public-Facing Application (T1190)	Man-in-the-Middle (T1557)	Drive-by Compromise (T1189)	Accessibility Features (T1546)	B	Exploit Public-Facing Application (T1190) involves gaining access to physically proximate systems or networks by using techniques like keylogging or network sniffing.
Which MITRE ATT&CK technique involves an adversary creating, deleting, or modifying system services to achieve persistence on the system?	Process Injection (T1055)	Service Stop (T1489)	Service Execution (T1569)	Valid Accounts (T1078)	Service Execution (T1569)	The technique involving the creation, deletion, or modification of system services to achieve persistence is specifically represented by the MITRE ATT&CK technique named Service Execution (T1569).
Which MITRE ATT&CK technique involves an adversary using a software tool to uncover sensitive information from a system?	Process Discovery (T1057)	Software Packing (T1045)	Exfiltration Over C2 Channel (T1041)	Data Staged (T1074)	A	Process Discovery (T1057) refers to techniques an adversary may use to gain insight into running processes on a system, potentially revealing sensitive information. Software Packing (T1045) involves compressing or encrypting malicious files to avoid detection. Exfiltration Over C2 Channel (T1041) is the transfer of data from a compromised system to
In the context of MITRE ATT&CK Enterprise, which technique involves an adversary executing malicious software that encrypts data stored on the victim's system and demands payment to decrypt it?	Ransomware (T1486)	DLL Search Order Hijacking (T1574)	Data Encrypted for Impact (T1486)	Scripting (T1064)	A	Data Encrypted for Impact (T1486) involves adversaries encrypting data on a victim's system for impact, often accompanied by a ransom demand, aligning with the behavior described in the question. Ransomware is a prevalent example of this technique.
Which MITRE ATT&CK technique involves an adversary gaining access to a system through deceptive means, often using social engineering?	Spearphishing Attachment (T1193)	Phishing (T1566.001)	Remote Services (T1021)	Exploit Public-Facing Application (T1190)	B	Spearphishing Attachment (T1193) involves sending a malicious attachment via email to trick the user into opening it, allowing the adversary access to the system. Phishing (T1566.001) is a broader term that includes various deceptive techniques aimed at tricking users into revealing sensitive information. Remote Services (T102
In the context of MITRE ATT&CK Enterprise, which technique involves an adversary using a victim’s account to log in and perform actions in the system?	T1081 - Non-Standard Port	T1078 - Valid Accounts	T1114 - Email Collection	T1021 - Remote Services	B	T1078 - Valid Accounts is the correct answer as it represents adversaries leveraging legitimate credentials to gain unauthorized access to systems. This technique is crucial to detect as it can indicate potential misuse of valid accounts for malicious activities.
Which technique from the MITRE ATT&CK framework (Enterprise) involves an adversary using various methods to manipulate or influence an asset's behavior to be inconsistent with the intended functionality?	A. Data Manipulation (T1565)	B. Exploitation for Privilege Escalation (T1068)	C. Command and Control (T1043)	D. Input Capture (T1056)	A	Data Manipulation (T1565) involves altering data to manipulate an asset's behavior, potentially leading to inconsistencies with intended functionality. The other options are focused on different tactics within the MITRE ATT&CK framework.
"Which MITRE ATT&CK technique is associated with the following behavior: ""An adversary uses a compromised account to log into a remote service and execute commands""?"	A. Valid Accounts	B. Exploitation for Privilege Escalation	C. Remote Services	D. Domain Trusts	A	"Option A, ""Valid Accounts,"" refers to the MITRE ATT&CK technique T1078 - Valid Accounts, where adversaries use legitimate credentials to access systems and accounts to blend in with normal traffic. This behavior aligns with the described scenario of using a compromised account. Option B, ""Exploitation for Privilege Escalation,"" involves gaining higher-level permissions on"
I'm sorry, but it seems like the provided text is missing. Kindly input the relevant text or information so that I can generate the multiple-choice question based on your requirements.						
In the context of MITRE ATT&CK for Enterprise, which technique involves an adversary sending spearphishing emails with malicious attachments to deliver payloads and gain initial access to a network?	T1193 - Spearphishing Attachment	T1078 - Valid Accounts	T1086 - PowerShell	T1021 - Remote Services	A	T1193 - Spearphishing Attachment is the technique that specifically involves sending spearphishing emails with malicious attachments to deliver payloads for initial access, aligning with the scenario described. Techniques T1078, T1086, and T1021 involve different actions and objectives.
In the context of MITRE ATT&CK for Enterprise, which technique involves an adversary using a remote access tool for execution and establishing persistence on a compromised system?	Trusted Relationship (T1199 - Establishing Trusted Relationship)	Remote Access Tools (T1219 - Remote Access Tools)	Execution through Module Load (T1129 - Execution through Module Load)	Boot or Logon Autostart Execution (T1547.001 - Boot or Logon Autostart Execution)	B	Adversaries can use Remote Access Tools (T1219 - Remote Access Tools) to execute commands on a compromised system and maintain persistence through remote access
Which MITRE ATT&CK Enterprise technique involves an adversary using a binary to establish a foothold on a compromised system?	Execution through API	Scripting	Execution through Module Load	Exploitation for Client Execution	C	Execution through Module Load (T1129 - Execution through Module Load) is a technique where adversaries execute their code using dynamic-link libraries (DLLs) loaded into processes. This technique allows them to establish a foothold on the compromised system by executing malicious binaries within the context of another process.
"Which MITRE ATT&CK technique is associated with the tactic ""Impact"" in the Enterprise platform, focusing on ""Data Encrypted for Impact"" to prevent access to data by encrypting it?"	A. Data Encrypted for Impact: T1486.001 - Data Encrypted for Impact	B. Data Encrypted for Impact: T1486.002 - Data Encrypted for Impact	C. Data Encrypted for Impact: T1486.003 - Data Encrypted for Impact	D. Data Encrypted for Impact: T1486.004 - Data Encrypted for Impact	A	Data Encrypted for Impact: T1486.001 - Data Encrypted
Which MITRE ATT&CK technique involves an adversary using a malicious DLL to proxy execution of malicious payloads and evade defenses on the Windows platform?	Process Injection: Dynamic-Link Library Injection (T1055.002)	Defense Evasion: Obfuscated Files or Information (T1027)	Execution: Command and Scripting Interpreter (T1059)	Credential Access: Credential Dumping (T1003)	A	Adversaries often use Process Injection: Dynamic-Link Library Injection (T1055.002) to proxy execution of malicious payloads through a malicious DLL, providing stealth and evading defenses on Windows systems. This technique allows adversaries
Which technique, as per MITRE ATT&CK, involves an adversary manipulating the perception of external systems to prevent accurate detection using system logs?	Process Injection (T1055) - Process Hollowing	Obfuscated Files or Information (T1027) - Data Encrypted	Persistence (T1547) - Boot or Logon Autostart	Defense Evasion (T1562) - Impair Defenses Mechanism	Defense Evasion (T1562) - Impair Defenses Mechanism	The technique described involves manipulating logs to hinder detection, a characteristic of Defense Evasion (T1562) - Impair Defenses Mechanism in
In the context of MITRE ATT&CK for Enterprise, which technique involves an adversary stealing sensitive data from a target network using a network sniffer?	Sensitive Data Stolen (T1002) - Data Manipulation	Data from Local System (T1005) - Data from Removable Media (T1025) - Network Sniffing (T1040)	Network Share Connection Removal (T1070)	A	"Technique ID T1040, named ""Network Sniffing,"" specifically involves an adversary stealing sensitive data from a target network using a network sniffer. This technique allows them to capture network traffic to gather information such as credentials"	
Which MITRE ATT&CK technique involves an adversary modifying user-agent strings to avoid detection while performing reconnaissance activities on an Enterprise network?	Reconnaissance using Web Services (T1102)	Obfuscated Files or Information (T1027)	Valid Accounts (T1078)	Software Discovery (T1518.001)	A	Adversaries may leverage the technique of modifying user-agent strings to blend in with legitimate traffic and evade detection during reconnaissance activities on an Enterprise network, as part of the T1102 - Reconnaissance using Web Services technique.
Which MITRE ATT&CK technique involves an adversary using a technique where the attacker manipulates the physical configuration of hardware components to change how they function?	Tampering with Memory	Exploitation for Privilege Escalation	Hardware Manipulation	Firmware Corruption	C	Hardware Manipulation (T1566.001) is a technique where the adversary manipulates the physical configuration of hardware components to change how they function, potentially disrupting the system or causing subsequent errors.
Which MITRE ATT&CK technique involves an attacker manipulating the trust relationship between a user and a web service to gain unauthorized access?	T1110 - Brute Force	T1078 - Valid Accounts	T1505 - Server Software Component	T1539 - Steganography	B	T1078 - Valid Accounts involves an attacker manipulating the trust relationship between a user and a web service to gain unauthorized access.
In the context of MITRE ATT&CK for Enterprise, which technique involves an adversary using valid accounts to log into a network and perform reconnaissance activities without triggering security mechanisms?	Reconnaissance via Exfiltration	Masquerading	Credential Dumping	Valid Accounts	Masquerading	Masquerading (T1036) refers to an adversary using valid credentials to masquerade as another user or account to blend in with normal network activity and avoid detection.
Which MITRE ATT&CK technique involves an adversary executing malicious software on a victim's machine to control the system remotely?	T1071 - Application Layer Protocol	 T1027 - Obfuscated Files or Information	T1021 - Remote Services	T1021 - Data Encrypted	A	T1071 - Application Layer Protocol involves adversaries communicating over application layer protocols like HTTP or HTTPS. T1027 - Obfuscated Files or Information refers to techniques to hide information or code. T1021 - Data Encrypted is about adversaries encrypting data to hide their activities. T1021 - Remote Services involves adversaries remotely controlling a system using legitimate services or mechanisms.
Which MITRE ATT&CK technique involves an adversary sending emails with malicious attachments to targets, known as spear phishing attachments?	Spearphishing Attachment	Phishing for Information	Email Spoofing	Attachment Manipulation	A	Spear phishing is a targeted form of phishing where attackers send emails containing malicious attachments to specific individuals or organizations in an attempt to compromise their systems or steal sensitive information.
Which MITRE ATT&CK technique involves an adversary manipulating configuration settings to disable security controls?	Execution Prevention	Process Injection	Exploit Public-Facing Application	Disable Security Tools	D	"Adversaries may disable security tools by manipulating their configuration settings to avoid detection and maintain persistence, as seen in the MITRE ATT&CK technique ""Disable Security Tools"" (T1562.001)."
Which technique from the MITRE ATT&CK framework (Enterprise) involves an attacker disguising malicious activities by making them appear as legitimate traffic through the use of encrypted communication channels?	Credential Dumping (T1003 - Credential Dumping)	Exfiltration Over Alternative Protocol (T1048 - Exfiltration Over Alternative Protocol)	Obfuscated Files or Information (T1027 - Obfuscated Files or Information)	Command and Control (T1043 - Commonly Used Port)	Option B	Exfiltration Over Alternative Protocol (T1048 - Exfiltration Over Alternative Protocol) is the technique where an attacker disguises malicious activities by making
In the context of MITRE ATT&CK for Enterprise, which technique involves an adversary using a malicious software update to gain unauthorized access to a target system?	Software Update	Install Root Certificate	Valid Accounts	User Execution	D	Adversaries can leverage the Software Update technique to deploy malicious updates to software on a target system, leading to unauthorized access.
Which MITRE ATT&CK technique involves an adversary abusing Windows registry run keys to establish persistence on a system?	Tactic: Persistence	Technique ID: T1110.002	Create Account: Local Account	Registry Run Keys: Run Keys / Startup Folder	Defense Evasion: Obfuscated Files or Information	Registry Run Keys: Run Keys / Startup Folder
Which MITRE ATT&CK technique involves an attacker tricking a user into disclosing their credentials through an email that impersonates a known contact?	Account Discovery (T1087)	Phishing (T1566.001)	Data Obfuscation (T1001)	Credential Dumping (T1003)	B	Phishing (T1566.001) is a social engineering technique where an attacker sends deceptive emails to trick users into revealing sensitive information such as credentials. This method can be used to gather information through deceptive means and gain unauthorized access.
In the context of MITRE ATT&CK for Enterprise, which technique involves an adversary sending an email with a malicious attachment to a target with the goal of obtaining unauthorized access to the victim's system?	Document Exploitation	Phishing	Taint Shared Content	Spearphishing	B	Spearphishing is a specific type of phishing attack that targets a particular individual or group, often using personalized information to increase the chances of success.
In the context of MITRE ATT&CK for Enterprise, which technique represents the activity of an adversary using email as a vector to deliver a malicious payload to a victim's machine?	A. T1193 - Spearphishing Attachment	B. T1083 - File and Directory Discovery	C. T1047 - Windows Management Instrumentation	D. T1059.003 - Command and Scripting Interpreter	B	T1083 - File and Directory Discovery involves an adversary enumerating files and directories on a system to gather information. This technique is different from using email as a delivery vector, as depicted in Spearphishing Attachment (T1193).
Which MITRE ATT&CK technique involves the manipulation of a scripting engine to evade defenses and execute malicious commands?	Scripting Interpreter	Scripting Payload	Scripting Execution	Scripting Evasion	C	Scripting Evasion (T1059) involves manipulating a scripting engine to evade defenses and execute malicious commands, emphasizing the need for security professionals to detect and mitigate such techniques effectively.
Which MITRE ATT&CK technique involves an adversary using stolen credentials to remotely access a system?	Reconnaissance: Remote System Discovery	Execution: Command and Scripting Interpreter	Defense Evasion: Masquerading	Initial Access: Valid Accounts	D	Adversaries often use stolen credentials to gain initial access to a system, making use of valid accounts to blend in and avoid detection. This can be classified under the MITRE ATT&CK technique named Initial Access: Valid Accounts.
Which MITRE ATT&CK technique involves an adversary creating and executing a new process on a victim's system?	Process Injection - T1055	Scripting - T1064	Exploit Public-Facing Application - T1190	Exfiltration Over Command and Control Channel - T1041	A	Process Injection (T1055) involves an adversary creating and executing a new process on a victim's system as a means of persistence or privilege escalation.
In the MITRE ATT&CK framework (Enterprise), which technique involves an adversary sending malicious emails with attachments containing hidden payloads to exploit vulnerabilities in the victim's email client?	Spearphishing Attachment	Spearphishing Link	Phishing	Drive-by Compromise	A	Spearphishing Attachment corresponds to technique T1566.001 - Spearphishing Attachment in the MITRE ATT&CK framework, where adversaries send emails with malicious attachments to deliver payloads. Spearphishing Link (T1566.002) involves sending emails with malicious links, Phishing (T1566) is a broader category encompassing deceptive emails, and Drive-by Compromise (
Which MITRE ATT&CK technique involves an attacker sending an email with a malicious attachment to a target for initial access?	T1566.001 - Spearphishing Attachment	T1059.001 - Command-Line Interface	T1078.002 - Valid Accounts	T1204.002 - User Execution	A	T1566.001 - Spearphishing Attachment is a specific technique where an attacker sends a spearphishing email with a malicious attachment to gain initial access, making it the correct option.
Which MITRE ATT&CK technique involves an adversary sending phishing emails with malicious attachments to target users in order to gain initial access?	T1193 - Spearphishing Attachment	T1566.001 - Spearphishing Attachment	T1566.002 - Spearphishing Link	T1078 - Valid Accounts	C	T1566.001, also known as Spearphishing Attachment, involves sending malicious attachments to users via email to gain initial access. Spearphishing Link (T1566.002) involves sending malicious links, while T1193 refers to Spearphishing Attachment but does not specify the target users. T1078 is related to the abuse of
Which MITRE ATT&CK technique involves an adversary compromising web servers to serve malicious content to visitors, such as drive-by downloads or exploit kits?	Web Shells	Drive-by Compromise	Exploit Public-Facing Application	Exploitation for Client Execution	B	Drive-by Compromise is the MITRE ATT&CK technique involving compromising web servers to serve malicious content to visitors, such as drive-by downloads or exploit kits. This technique aims to exploit the trust relationship between a user and a web server to deliver malicious content.
Which MITRE ATT&CK Enterprise technique involves the adversary collecting information about the target organization using publicly available sources and tools?	(A) T1592 - Conduct OSINT Research	(B) T1137 - Office Application Startup	(C) T1057 - Process Discovery	(D) T1046 - Network Service Scanning	A	T1592 - Conduct OSINT Research involves the collection of information using open source intelligence (OSINT) sources, aligning with the scenario described in the question. T1137, T1057, and T1046 pertain to different techniques not directly related to the described activity.
Which MITRE ATT&CK technique involves an adversary using a software tool to read a victim's keystrokes?	Keylogging - T1056	Brute Force - T1110	Spearphishing Attachment - T1193	Remote Desktop Protocol - T1076	A	Keylogging is specifically designed to capture keystrokes, while Brute Force involves trying various combinations of usernames and passwords. Spearphishing Attachment and Remote Desktop Protocol are not directly related to reading keystrokes.
Which MITRE ATT&CK technique involves an adversary sending malicious emails to targets, containing attachments or links leading to malware delivery?	APT28: Phishing Emails (T1566.001)	Credential Dumping (T1003)	Exploit Public-Facing Application (T1190)	Valid Accounts (T1078)	A	APT28: Phishing Emails (T1566.001) specifically refers to the technique where adversaries send malicious emails to targets, containing attachments or links leading to malware delivery, requiring careful analysis and detection by cybersecurity professionals specializing in cyber threat intelligence.
Which MITRE ATT&CK Enterprise technique involves an adversary trying to get their malicious code executed on a target system without the need for user interaction?	Execution Guardrails	T1190 - Exploit Public-Facing Application	T1569.001 - System Services: Service Execution	T1059.001 - Command and Scripting Interpreter	B	T1569.001 - System Services: Service Execution (T1569.001) describes adversaries abusing legitimate Windows services to execute malicious code, often without requiring user interaction.
Which MITRE ATT&CK technique involves an adversary sending messages containing malicious links to deceive users into clicking on them?	Spearphishing Link	Web Service	Exploit Public-Facing Application	Valid Accounts	C	Spearphishing Link (T1566.002) is a technique where an adversary sends messages containing malicious links to deceive users into clicking on them, potentially leading to further exploitation. The other options do not directly relate to this specific deceptive tactic.
In the context of MITRE ATT&CK for Enterprise, which technique involves an adversary performing actions that allow them to discover potentially vulnerable software or services on a system?	Discovery	Exploit Public-Facing Application	Valid Accounts	Network Sniffing	A	Discovery (T1040) involves an adversary performing actions that allow them to discover potentially vulnerable software or services on a system, which can lead to further exploitation. Exploit Public-Facing Application (T1190) involves an adversary leveraging publicly known vulnerabilities in applications to gain unauthorized access. Valid Accounts (T1078) involves an adversary using legitimate credentials to access systems. Network Sniffing (
Which MITRE ATT&CK technique involves an attacker attempting to discover credentials of the targeted system using common password-cracking techniques?	Credential Dumping (T1003)	Brute Force (T1110)	Steal Web Session Cookie (T1539)	Spearphishing Link (T1192)	B	Brute Force (T1110) is the MITRE ATT&CK technique where an attacker tries to discover credentials by systematically checking all possible passwords or passphrases. This method is commonly used in cyber attacks to gain unauthorized access to systems.
Which MITRE ATT&CK technique involves an adversary using account credentials obtained from password dumps to gain unauthorized access to systems?	Defense Evasion: Valid Accounts	Initial Access: Phishing	Execution: Command-Line Interface	Privilege Escalation: Exploitation of Privilege	Defense Evasion: Valid Accounts	"This question tests knowledge of the ""Valid Accounts"" technique under the Defense Evasion tactic in MITRE ATT&CK, where adversaries leverage stolen credentials to access systems without detection."
Which MITRE ATT&CK technique involves an adversary gaining unauthorized access to an organization's systems by exploiting vulnerable web servers?	 A. Spearphishing Attachment	 B. Exploit Public-Facing Application	 C. Data Obfuscation	 D. Valid Accounts	 B	Exploit Public-Facing Application
Which MITRE ATT&CK technique involves an adversary using a man-in-the-browser attack to intercept communication between a user and a web application?	Spearphishing Attachment (T1193)	Man-in-the-Browser (T1185)	Web Service (T1102)	Exploit Public-Facing Application (T1190)	B	Man-in-the-Browser (T1185) technique involves an adversary intercepting communication between a user and a web application through techniques like injecting malicious scripts into the victim's browser.
In the context of MITRE ATT&CK for Enterprise, which technique involves an adversary injecting malicious code into a legitimate system process to avoid detection?	"Process Injection (T1055) - ""Process Injection"""	"DLL Search Order Hijacking (T1574) - ""DLL Search Order Hijacking"""	"Process Hollowing (T1055.012) - ""Process Hollowing"""	"Component Object Model Hijacking (T1122) - ""Component Object Model Hijacking"""	C	Process Hollowing (T1055.012) involves an adversary injecting malicious code into a legitimate system process to avoid detection. This technique allows the adversary to run
In the context of MITRE ATT&CK for Enterprise, which technique involves an adversary using valid accounts to interact with a service that requires authentication over a network, typically to discover information or compromise the service?	Credential Dumping (T1003 - Credential Dumping)	Valid Accounts (T1078 - Valid Accounts)	External Remote Services (T1133 - External Remote Services)	Exploitation for Credential Access (T1212 - Exploitation for Credential Access)	B	T1078 - Valid Accounts involves an adversary using valid accounts to interact with a service that requires authentication over a network, typically to discover information or compromise the service.
Which MITRE ATT&CK technique involves an adversary using email to deliver a malicious attachment containing a payload that, when executed, establishes a foothold within the target environment?	T1566.001 - Spearphishing Attachment	T1566.002 - Spearphishing Link	T1204.002 - User Execution	T1059.003 - Command and Scripting Interpreter	B	T1566.002 - The technique T1566.002 - Spearphishing Link specifically involves using emails with malicious links to deliver payloads, establishing a foothold when executed. Option A, T1566.001 - Spearphishing Attachment, involves delivering malicious attachments via email but
Which MITRE ATT&CK technique involves an adversary performing actions that are meant to hide artifacts of their presence on a system?	Process Injection	Indicator Removal on Host	Exploit Public-Facing Application	Accessibility Features	Indicator Removal on Host	"The MITRE ATT&CK technique ""Indicator Removal on Host"" (T1070) involves an adversary performing actions to hide artifacts of their presence on a system, making it the correct answer in this scenario."
Which MITRE ATT&CK technique involves an attacker gaining access to an organization's network by exploiting a vulnerability in the organization's externally facing web server?		A. Spearphishing Attachment	B. Exploit Public-Facing Application	C. Exploit Public-Facing Services	D. Phishing	
Which MITRE ATT&CK technique involves an attacker manipulating the way a software is processed to gain unauthorized privileges?	Process Injection (T1055)	Security Support Provider (T1101)	Exploitation for Privilege Escalation (T1068)	Boot or Logon Autostart Execution (T1547)	A	Process Injection (T1055) is a technique where the attacker injects code into another process to gain execution and potentially evade detection. This manipulation allows the attacker to gain unauthorized privileges.
Which technique from the MITRE ATT&CK framework is likely being employed if threat actors are exploiting a vulnerability in a network service to gain initial access to the system?	Execution through API (T1101 - Scripting)	Exploit Public-Facing Application (T1190 - Exploitation for Client Execution)	Exploitation for Privilege Escalation (T1068 - Exploitation for Privilege Escalation)	Exploit Public-Facing Application (T1190 - Exploitation for Client Execution)	B	"Exploiting a vulnerability in a network service for initial access aligns with the technique ""Exploit Public"
Which MITRE ATT&CK technique involves an adversary launching an attack that involves the use of a malicious website to exploit a vulnerability in the victim's browser?	(A) Drive-by Compromise	(B) Spearphishing Link	(C) Exploit Public-Facing Application	(D) Web Service	(A) Drive-by Compromise	The Drive-by Compromise technique (T1189 - Drive-by Compromise) involves an adversary using a malicious website to exploit vulnerabilities in a victim's browser without any user interaction.
Which MITRE ATT&CK technique involves an adversary compromising a system by exploiting a vulnerability in an application that the system runs, such as web browsers, plugins, and document readers?	Spearphishing Attachment	Exploit Public-Facing Application	Taint Shared Content	Exploit Public-Facing Application (T1190)	Exploit Public-Facing Application (T1190)	"This question tests the candidate's ability to identify the specific technique within the MITRE ATT&CK framework related to exploiting vulnerabilities in public-facing applications. The correct answer is ""Exploit Public-Facing Application (T1190)."""
Which MITRE ATT&CK technique involves an adversary using a malicious document containing a script to execute commands on a victim's machine without user interaction?	Scripting (T1064)	Exploitation for Client Execution (T1203)	Spearphishing Attachment (T1193)	User Execution (T1204)	B	Spearphishing Attachment (T1193) corresponds to the scenario described where an adversary sends a malicious document to the victim, tricking them into opening it and executing the embedded script. The other options, although related to techniques involving code execution, do not specifically match the described situation.
In the context of MITRE ATT&CK Enterprise, which technique involves the use of a trusted relationship between an application and the operating system to deceive application control mechanisms?	Process Hollowing (T1055)	Trusted Relationship Exploitation (T1199)	Process Injection (T1055)	Exploit Public-Facing Application (T1190)	B	Trusted Relationship Exploitation (T1199) involves exploiting trusted relationships between systems to bypass security mechanisms, making it challenging to detect compared to other techniques listed.
In the context of MITRE ATT&CK for Enterprise, which technique involves an attacker using a trusted relationship to gain access to resources within an organization?	Account Manipulation (T1098)	Valid Accounts (T1078)	Exploitation for Credential Access (T1212)	Lateral Tool Transfer (T1570)	A	Account Manipulation (T1098) involves an attacker manipulating accounts to maintain access within an organization, leveraging trusted relationships for unauthorized access. Valid Accounts (T1078) refers to using existing accounts for malicious activities. Exploitation for Credential Access (T1212) involves exploiting vulnerabilities to obtain credentials.
Which MITRE ATT&CK Enterprise technique involves an adversary using a web shell for remote access to a system?	Exfiltration Over Web Service (T1560.001)	Web Shell (T1505)	Exploitation of Remote Services (T1210)	Command-Line Interface (T1059)	B	Adversaries may use a web shell (T1505) to establish persistent access and execute commands on a compromised system. This technique allows them remote access to the system through a web interface.
Which MITRE ATT&CK technique involves an adversary using a variety of techniques to manipulate, interrupt, or destroy ICS equipment?	Revert Access	Network Sniffing	Data Destruction	Data Obfuscation	C	Data Destruction (T1005) involves an adversary manipulating, interrupting, or destroying data on ICS equipment. The other options are not directly related to this type of attack.
In the context of MITRE ATT&CK Enterprise, which technique involves an adversary using valid accounts and credentials to perform lateral movement to other systems within a network?	Account Manipulation (T1098)	Valid Accounts (T1078)	Lateral Movement (T1070)	Valid Accounts (T1078)	Lateral Movement (T1070)	In the MITRE ATT&CK framework, lateral movement (T1070) involves an adversary using valid accounts and credentials to move laterally within a network to access other systems.
